YEAR,COUNTRY,LOCATION,ALL_DAMAGE_MILLIONS
1906,CHILE,CENTRAL CHILE,100.0
1907,JAMAICA,JAMAICA,30.0
1908,ITALY,"MESSINA STRAIT, IONIAN SEA",116.0
1914,JAPAN,SEIKAIDO,19.0
1916,PANAMA,BOCAS DEL TORO,0.025
1918,USA TERRITORY,PUERTO RICO: MONA PASSAGE,4.0
1923,RUSSIA,KAMCHATKA,1.5
1923,JAPAN,SAGAMI BAY,600.0
1927,USA,S. CALIFORNIA,3.0
1929,CANADA,"GRAND BANKS, NEWFOUNDLAND",1.0
1931,NEW ZEALAND,N. NEW ZEALAND,25.0
1934,PANAMA,COSTA RICA-PANAMA,0.05
1934,USA,S. CALIFORNIA,0.075
1935,PAKISTAN,QUETTA,25.0
1939,CHILE,CENTRAL CHILE,920.0
1939,TURKEY,SOUTH BLACK SEA,20.0
1945,PAKISTAN,MAKRAN COAST,25.0
1946,USA,"UNIMAK ISLAND, AK",26.046
1948,PHILIPPINES,SULU SEA,3.5
1949,USA,"PUGET SOUND, WA",25.0
1950,INDIA,INDIA-CHINA,20.0
1951,USA,"COLUMBIA RIVER VALLEY, WA",0.003
1952,RUSSIA,KAMCHATKA,1.0
1953,PAPUA NEW GUINEA,"RABAUL, NEW BRITAIN",0.013
1953,CHILE,CENTRAL CHILE,500.0
1953,GREECE,IONIAN SEA,100.0
1954,ALGERIA,SEA OF ALBORAN,6.0
1957,MEXICO,S. MEXICO,25.0
1958,USA,"SE. ALASKA, AK",0.1
1959,USA,"HEGBEN LAKE, MONTANA",11.0
1960,MOROCCO,MOROCCO,120.0
1960,CHILE,SOUTHERN CHILE,1000.0
1960,PERU,N. PERU,0.55
1964,USA,"PRINCE WILLIAM SOUND, AK",400.0
1964,JAPAN,NW. HONSHU ISLAND,80.0
1965,USA,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",0.01
1965,GREECE,AEGEAN SEA,8.0
1966,PERU,CENTRAL PERU,35.0
1966,CHILE,NORTHERN CHILE,0.4
1967,VENEZUELA,CARACAS,140.0
1968,GREECE,"LEMNOS ISLAND, NORTH AEGEAN SEA",0.6
1968,JAPAN,OFF EAST COAST OF HONSHU ISLAND,131.0
1968,PHILIPPINES,E. LUZON ISLAND,8.0
1970,PERU,N. PERU,530.0
1970,PAPUA NEW GUINEA,PAPUA NEW GUINEA,1.75
1971,CHILE,CENTRAL CHILE,236.4
1973,PHILIPPINES,QUEZON,0.45
1973,JAPAN,HOKKAIDO ISLAND,5.0
1974,PERU,CENTRAL PERU,10.0
1974,PAKISTAN,PAKISTAN,3.255
1975,USA,HAWAII,4.0
1976,GUATEMALA,GUATEMALA,2147.0
1976,PHILIPPINES,MORO GULF,134.0
1977,INDONESIA,SUNDA ISLANDS,1.2
1978,JAPAN,SANRIKU,865.0
1978,GREECE,"THESSALONIKI (SALONICA), GREECE",250.0
1979,MEXICO,S. MEXICO,30.0
1979,SERBIA AND MONTENEGRO,MONTENEGRO,2700.0
1979,COLOMBIA,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",8.0
1980,PORTUGAL,AZORES,5.0
1980,ALGERIA,EL ASNAM,5200.0
1981,GREECE,ATHENS-EASTERN GULF OF CORINTH,812.0
1982,INDONESIA,FLORES SEA,1.45
1983,JAPAN,"NOSHIRO, JAPAN",800.0
1983,CHILE,NORTHERN CHILE,1.0
1985,CHILE,CENTRAL CHILE,1500.0
1985,PAPUA NEW GUINEA,NEW IRELAND,1.0
1985,MEXICO,MEXICO,4000.0
1987,PAPUA NEW GUINEA,SOLOMON SEA,2.625
1988,USA,"GULF OF ALASKA, AK",0.005
1989,USA,N. CALIFORNIA,5600.0
1990,PHILIPPINES,PHILIPPINES,0.9
1990,ITALY,EASTERN SICILY,500.0
1991,COSTA RICA,"LIMON, PANDORA",510.0
1992,USA,"CAPE MENDOCINO, N. CALIFORNIA",66.0
1992,NICARAGUA,NICARAGUA,30.0
1992,INDONESIA,FLORES SEA,100.0
1993,JAPAN,SEA OF JAPAN,1207.0
1993,USA TERRITORY,"GUAM, MARIANA ISLANDS",250.0
1994,USA,"WEST COAST, USA",40000.0
1994,INDONESIA,SOUTH OF JAVA,2.2
1994,PAPUA NEW GUINEA,PAPUA NEW GUINEA,280.0
1994,PHILIPPINES,PHILIPPINE ISLANDS,3.7
1994,JAPAN,"TOHUKU, JAPAN",170.4
1995,JAPAN,"KOBE, JAPAN",100000.0
1995,RUSSIA,SAKHALIN ISLAND,300.0
1995,GREECE,GULF OF CORINTH: AIYION,660.0
1995,CHILE,NORTHERN CHILE,1.791
1996,INDONESIA,SULAWESI,1.2
1996,INDONESIA,IRIAN JAYA,4.2
1997,HONDURAS,GULF OF FONSECA,0.3
1997,VENEZUELA,CARIACO-CUMANA,81.0
1998,INDONESIA,"TALIABU ISLAND,",200.0
1999,TURKEY,"KOCAELI, TURKEY",20000.0
2000,INDONESIA,SULAWESI,30.0
2001,EL SALVADOR,EL SALVADOR,753.0
2001,PERU,S. PERU,200.0
2002,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",1.714
2003,ALGERIA,N. ALGERIA,5000.0
2003,JAPAN,HOKKAIDO ISLAND,90.0
2004,INDONESIA,OFF W. COAST OF SUMATRA,10000.0
2006,INDONESIA,SERAM ISLAND,1.0
2006,INDONESIA,SOUTH OF JAVA,55.0
2008,CHINA,SICHUAN PROVINCE,86000.0
2008,USA,MAINE,0.02
2009,SAMOA,SAMOA ISLANDS,285.0
2009,INDONESIA,SUMATRA,2200.0
2010,HAITI,HAITI & DOMINICAN REPUBLIC,8000.0
2010,CHILE,CENTRAL CHILE,30000.0
2010,INDONESIA,SUMATRA,39.0
2011,JAPAN,HONSHU ISLAND,220085.456
2012,PHILIPPINES,PHILIPPINE ISLANDS,0.3
2015,CHILE,CENTRAL CHILE,600.0
