YEAR,COUNTRY,LOCATION,ALL_FATALITIES
1900,USA,"LITUYA BAY, AK",5.0
1900,INDONESIA,BISMARCK SEA,5.0
1901,BULGARIA,BLACK SEA,4.0
1901,JAPAN,OFF NORTHEAST COAST HONSHU,18.0
1902,EL SALVADOR,EL SALVADOR-GUATEMALA,185.0
1902,GUATEMALA,OCOS,2000.0
1902,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,23.0
1902,SAINT VINCENT AND THE GRENADINES,SOUFRIERE VOLCANO,1680.0
1902,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,28000.0
1902,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,1000.0
1905,NORWAY,LOEN,61.0
1905,INDIA,"KANGRA, INDIA",19000.0
1905,JAPAN,JAPAN:  OFF FUKUSHIMA,57.0
1906,ECUADOR,OFF COAST,1000.0
1906,CHILE,CENTRAL CHILE,4000.0
1907,INDONESIA,NW. SUMATRA,400.0
1907,JAMAICA,JAMAICA,1000.0
1907,MEXICO,S. MEXICO,8.0
1907,ITALY,IONIAN CALABRIA,158.0
1908,ITALY,"MESSINA STRAIT, IONIAN SEA",80000.0
1909,JAPAN,"ANEGAWA, JAPAN",41.0
1909,USA,LOUISIANA: GRAND ISLE,300.0
1911,PHILIPPINES,"TAAL, LUZON ISLAND",1335.0
1911,JAPAN,RYUKYU ISLANDS,12.0
1913,INDONESIA,SANGIHE ISLAND,138.0
1914,JAPAN,SEIKAIDO,63.0
1914,INDONESIA,INDONESIA,20.0
1914,NEW ZEALAND,"TOLAGA BAY, NORTH ISLAND",1.0
1914,GREECE,IONIAN SEA,14.0
1915,USA TERRITORY,"MANUA ISLANDS, AMERICAN SAMOA",3.0
1917,INDONESIA,BALI SEA,1500.0
1917,PHILIPPINES,CELEBES SEA,7.0
1917,SAMOA,SAMOA ISLANDS,2.0
1917,USA,"TAKU INLET, JUNEAU, AK",1.0
1917,CANADA,"HALIFAX, NOVA SCOTIA",2000.0
1918,CHINA,GUANGDONG PROVINCE,2000.0
1918,PHILIPPINES,CELEBES SEA,52.0
1918,RUSSIA,S. KURIL ISLANDS,23.0
1918,USA TERRITORY,PUERTO RICO: MONA PASSAGE,144.0
1919,ITALY,STROMBOLI ISLAND,4.0
1922,PHILIPPINES,CEBU ISLAND,5.0
1922,TAIWAN,TAIWAN,5.0
1922,CHILE,NORTHERN CHILE,700.0
1923,RUSSIA,KAMCHATKA,3.0
1923,RUSSIA,KAMCHATKA,18.0
1923,USA,"ROCKAWAY BEACH, NY",2.0
1923,JAPAN,SAGAMI BAY,142807.0
1925,PHILIPPINES,W. LUZON ISLAND,17.0
1926,COOK ISLANDS,COOK ISLANDS,1.0
1927,USA,S. CALIFORNIA,1.0
1927,JAPAN,SW. HONSHU ISLAND,3022.0
1927,ISRAEL,DEAD SEA,268.0
1927,UKRAINE,"CRIMEA, BLACK SEA",11.0
1927,INDONESIA,SULAWESI,50.0
1928,GREECE,EAST AEGEAN,170.0
1928,PERU,S. PERU,10.0
