,YEAR,COUNTRY,LATITUDE,LONGITUDE,TS_INTENSITY,EQ_MAGNITUDE,CAUSE,LOCATION_NAME,CSV_KEY
525,1911,TRINIDAD AND TOBAGO,10.5,-61.2,,,Landslide,TRINIDAD,trinidad and tobago
527,1919,ITALY,38.789,15.213,4.0,,Volcano,STROMBOLI ISLAND,italy
528,1905,USA,60.0,-139.58,2.5,,Landslide,"DISENCHANTMENT BAY, AK",united states of america
532,1911,TOGO,6.1,1.2,,6.6,Unknown,GOLD COAST,togo
537,1919,INDONESIA,-9.0,124.85,1.5,,Unknown,TIMOR SEA,indonesia
539,1907,SAMOA,-13.612,-172.525,,,Volcano,MATAVANU VOLCANO,samoa
541,1914,INDONESIA,-3.7,128.2,0.0,,Unknown,AMBON ISLAND,indonesia
542,1918,INDONESIA,3.138,125.491,0.0,,Volcano,SULAWESI,indonesia
543,1902,MARTINIQUE (FRENCH TERRITORY),14.82,-61.17,,,Volcano,MOUNT PELEE,martinique
544,1906,USA,33.9,-117.0,,,Unknown,S. CALIFORNIA,united states of america
546,1902,MARTINIQUE (FRENCH TERRITORY),14.82,-61.17,,,Volcano,MOUNT PELEE,martinique
547,1917,INDONESIA,-0.25,104.5,1.5,,Unknown,LINGA ARCHIPELAGO,indonesia
552,1917,INDONESIA,-3.7,116.6,1.0,,Unknown,JAVA SEA,indonesia
554,1906,SAMOA,-13.612,-172.525,,,Volcano,MATAVANU VOLCANO,samoa
556,1907,SAMOA,-13.612,-172.525,,,Volcano,MATAVANU VOLCANO,samoa
557,1907,SAMOA,-13.612,-172.525,,,Volcano,MATAVANU VOLCANO,samoa
558,1904,INDONESIA,1.5,120.8,0.5,,Unknown,CELEBES SEA,indonesia
559,1907,SAMOA,-13.612,-172.525,,,Volcano,MATAVANU VOLCANO,samoa
560,1917,INDONESIA,-3.6,128.7,0.5,,Unknown,BANDA SEA,indonesia
561,1905,SAMOA,-13.612,-172.525,0.5,,Volcano,MATAVANU VOLCANO,samoa
565,1917,INDONESIA,1.57,122.72,2.0,,Unknown,CELEBES SEA,indonesia
569,1919,USA,19.23,-155.9,2.0,,Volcano And Landslide,"ALIKA, HAWAII",united states of america
570,1904,INDONESIA,-3.6,128.7,1.0,,Earthquake,BANDA SEA,indonesia
571,1907,SAMOA,-13.612,-172.525,,,Volcano,MATAVANU VOLCANO,samoa
573,1907,SAMOA,-13.612,-172.525,,,Volcano,MATAVANU VOLCANO,samoa
577,1911,USA,60.5,-149.0,0.5,6.9,Earthquake And Landslide,"PRINCE WILLIAM SOUND, AK",united states of america
578,1907,TONGA,-21.38,-175.65,0.5,,Volcano,TONGA ISLANDS,tonga
584,1919,INDONESIA,-2.55,140.75,,,Earthquake,NW. IRIAN JAYA,indonesia
587,1907,USA,59.5,-135.5,0.0,5.5,Earthquake And Landslide,"SKAGWAY, AK",united states of america
590,1910,PAPUA NEW GUINEA,-4.25,152.25,0.0,6.0,Earthquake,MATUPI HARBOR,papua new guinea
