ID,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,COUNTRY,REGION,CAUSE,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DEATHS_TOTAL_DESCRIPTION,DAMAGE_TOTAL_DESCRIPTION,LOCATION_NAME
1400,1911,11.0,3.0,10.5,-61.2,TRINIDAD AND TOBAGO,Caribbean Sea,Landslide,0.0,,0.0,,,TRINIDAD
1476,1919,5.0,22.0,38.789,15.213,ITALY,Mediterranean Sea,Volcano,0.0,,4.0,Few (~1 to 50 people),Limited (<$1 million),STROMBOLI ISLAND
1323,1905,7.0,4.0,60.0,-139.58,USA,Alaska (including Aleutian Islands),Landslide,0.0,,2.5,,,"DISENCHANTMENT BAY, AK"
1395,1911,5.0,11.0,6.1,1.2,TOGO,West Coast of Africa,Unknown,6.6,,0.0,,Limited (<$1 million),GOLD COAST
1468,1919,2.0,13.0,-9.0,124.85,INDONESIA,Indian Ocean (including west coast of Australia),Unknown,0.0,,1.5,,Limited (<$1 million),TIMOR SEA
1360,1907,7.0,25.0,-13.612,-172.525,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,0.0,,0.0,,,MATAVANU VOLCANO
1421,1914,12.0,3.0,-3.7,128.2,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Unknown,0.0,,0.0,,,AMBON ISLAND
1454,1918,7.0,18.0,3.138,125.491,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,0.0,,0.0,,,SULAWESI
1291,1902,8.0,30.0,14.82,-61.17,MARTINIQUE (FRENCH TERRITORY),Caribbean Sea,Volcano,0.0,,0.0,Many (~101 to 1000 people),,MOUNT PELEE
1337,1906,8.0,7.0,33.9,-117.0,USA,West Coast of North and Central America,Unknown,0.0,,0.0,,,S. CALIFORNIA
1288,1902,5.0,8.0,14.82,-61.17,MARTINIQUE (FRENCH TERRITORY),Caribbean Sea,Volcano,0.0,,0.0,Very Many (~1001 or more people),,MOUNT PELEE
1437,1917,1.0,,-0.25,104.5,INDONESIA,Indian Ocean (including west coast of Australia),Unknown,0.0,,1.5,,,LINGA ARCHIPELAGO
1443,1917,3.0,16.0,-3.7,116.6,INDONESIA,Indian Ocean (including west coast of Australia),Unknown,0.0,,1.0,,Moderate (~$1 to $5 million),JAVA SEA
1346,1906,11.0,28.0,-13.612,-172.525,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,0.0,,0.0,,,MATAVANU VOLCANO
1358,1907,6.0,27.0,-13.612,-172.525,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,0.0,,0.0,,,MATAVANU VOLCANO
1363,1907,10.0,6.0,-13.612,-172.525,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,0.0,,0.0,,Severe (~>$5 to $24 million),MATAVANU VOLCANO
1309,1904,2.0,2.0,1.5,120.8,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Unknown,0.0,,0.5,,,CELEBES SEA
1359,1907,7.0,9.0,-13.612,-172.525,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,0.0,,0.0,,,MATAVANU VOLCANO
1449,1917,8.0,23.0,-3.6,128.7,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Unknown,0.0,,0.5,,,BANDA SEA
1326,1905,8.0,4.0,-13.612,-172.525,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,0.0,,0.5,,Severe (~>$5 to $24 million),MATAVANU VOLCANO
1438,1917,1.0,9.0,1.57,122.72,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Unknown,0.0,,2.0,,,CELEBES SEA
1478,1919,10.0,2.0,19.23,-155.9,USA,"Hawaii, Johnston Atoll, Midway I",Volcano and Landslide,0.0,,2.0,,Limited (<$1 million),"ALIKA, HAWAII"
1315,1904,7.0,5.0,-3.6,128.7,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,0.0,,1.0,,Limited (<$1 million),BANDA SEA
1356,1907,6.0,8.0,-13.612,-172.525,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,0.0,,0.0,,,MATAVANU VOLCANO
1357,1907,6.0,19.0,-13.612,-172.525,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,0.0,,0.0,,,MATAVANU VOLCANO
1399,1911,9.0,22.0,60.5,-149.0,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,6.9,60.0,0.5,,Limited (<$1 million),"PRINCE WILLIAM SOUND, AK"
1365,1907,7.0,,-21.38,-175.65,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,0.0,,0.5,,,TONGA ISLANDS
1479,1919,11.0,21.0,-2.55,140.75,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,0.0,,0.0,,Limited (<$1 million),NW. IRIAN JAYA
1362,1907,9.0,24.0,59.5,-135.5,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,5.5,33.0,0.0,,Limited (<$1 million),"SKAGWAY, AK"
