YEAR,COUNTRY,LOCATION,LATITUDE,LONGITUDE,WAVE_HEIGHT,FATALITIES,DAMAGE_USD_MILLIONS
1900,PAPUA NEW GUINEA,"RABAUL (BLANCHE BAY), NEW BRITAIN",-4.22,152.18,3.0,,
1900,VENEZUELA,PUERTO TUY,10.333,-65.917,10.0,,
1901,JAPAN,HOSOSHIMA,32.433,131.667,0.25,,
1901,USA,"KEAUHOU, HAWAII, HI",19.57,-155.95,0.9,,
1901,JAPAN,NEMUROKO,43.35,145.583,0.02,,
1901,JAPAN,AYUKAWA,38.3,141.5,0.25,,
1901,JAPAN,NEMUROKO,43.35,145.583,0.04,,
1901,USA,"KAILUA-KONA, HAWAII, HI",19.63,-155.99,1.2,,
1901,JAPAN,MIYAKO,39.65,141.983,0.6,,
1901,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.12,,
1901,USA,"HOOPULOA, HAWAII, HI",19.2,-155.9,1.2,,
1901,JAPAN,AYUKAWA,38.3,141.5,0.23,,
1901,NICARAGUA,SAN JUAN DEL SUR,11.25,-85.867,1.5,,
1902,MARTINIQUE (FRENCH TERRITORY),SAINT PIERRE,14.74,-61.18,4.0,,
1902,SAINT LUCIA,SAINT LUCIA,13.883,-60.967,1.0,,
1902,BARBADOS,BARBADOS,13.166,-59.533,1.0,,
1902,GRENADA,GRENADA,12.117,-61.667,1.0,,
1902,MARTINIQUE (FRENCH TERRITORY),FORT-DE-FRANCE,14.6,-61.083,1.0,,
1903,USA TERRITORY,"GUAM, MARIANA ISLANDS",13.47,144.83,0.15,,
1903,INDONESIA,TIFU,-3.717,126.383,1.0,,
1903,INDONESIA,MASARETE,-3.6,126.267,1.0,,
1903,USA,"KALAUPAPA, MOLOKAI, HI",21.192,-156.986,15.7,,
1905,NORWAY,BODAL,61.83,6.91,14.5,27.0,
1905,NORWAY,OUTLET OF LAKE LOEN,61.87,6.851,5.8,,
1905,NORWAY,NESDAL,61.83,6.91,15.5,34.0,
1905,VANUATU,MALO PASS,-15.633,167.183,0.6,,
1905,USA,"TURNER GLACIER, AK",60.03,-139.7,19.81,,
1905,USA,"HAENKE ISLAND, AK",59.97,-139.55,18.29,,
1905,USA,"RUSSELL FJORD, AK",59.99,-139.4,6.1,,
1905,USA,"DISENCHANTMENT BAY, AK",60.0,-139.58,33.53,,
1906,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.13,,
1906,USA,"HILO, HAWAII, HI",19.7303,-155.0553,1.8,,
1906,USA,"KAHULUI, MAUI, HI",20.895,-156.477,0.3,,
1906,JAPAN,AYUKAWA,38.3,141.5,0.18,,
1906,JAPAN,HAKODATE,41.7187,140.7247,0.17,,
1906,JAPAN,HOSOSHIMA,32.433,131.667,0.15,,
1906,JAPAN,KUSHIMOTO,33.467,135.783,0.24,,
1906,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.06,,
1906,JAPAN,NAGASAKI,32.733,129.867,0.14,,
1906,COLOMBIA,GUAPI,2.56667,-77.88333,1.0,,
1906,PANAMA,"NAOS IS, CANAL ZONE, PACIFIC COAST",8.915,-79.532,0.7,,
1906,JAPAN,FUKAHORI,32.683,129.817,0.28,,
1906,NEW ZEALAND,GISBORNE,-38.6754,178.023,0.6,,
1906,COLOMBIA,TUMACO,1.833,-78.733,5.0,,
1906,USA,"SAN DIEGO, CA",32.715,-117.174,0.05,,
1906,NEW ZEALAND,GISBORNE,-38.66,178.92,0.25,,
1906,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.1,,
1906,USA,"SAN DIEGO, CA",32.715,-117.174,0.02,,
1906,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.04,,
1906,CHILE,TALCA PROVINCE,-35.47,-71.67,1.0,,
1906,USA,"HILO, HAWAII, HI",19.733,-155.067,1.5,,
1906,JAPAN,ABURATSUBO,35.167,139.617,0.08,,
1906,JAPAN,HAKODATE,41.7187,140.7247,0.12,,
1906,USA,"SAN DIEGO, CA",32.715,-117.174,0.06,,
1906,USA,"MAALAEA, MAUI, HI",20.8,-156.51,3.5,,
1906,CHILE,TOME,-36.617,-72.95,1.5,,
1906,CHILE,PENCO,-36.733,-72.983,1.5,,
1906,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.1,,
1906,USA,"PORT CHATHAM, KENAI, AK",59.22,-151.73,0.21,,
1906,JAPAN,AYUKAWA,38.3,141.5,0.09,,
1906,JAPAN,KUSHIMOTO,33.467,135.783,0.17,,
1906,PAPUA NEW GUINEA,MADANG ISLAND,-5.217,145.8,1.5,,
1906,PAPUA NEW GUINEA,FINSCHHAFEN,-6.598,147.857,1.5,,
1906,PAPUA NEW GUINEA,BUNA BAY,-8.667,148.4,1.2,,
1906,PAPUA NEW GUINEA,FINSCHHAFEN,-6.598,147.857,1.0,,
1907,SRI LANKA,HAMBANTOTA HARBOR,6.124,81.127,2.1,,
1907,SRI LANKA,GALLE,6.054,80.212,0.6,,
1907,JAMAICA,ANNOTTO BAY,18.267,-76.767,2.2,,
1907,JAMAICA,BUFF BAY,18.233,-76.667,2.5,,
1907,JAMAICA,SHEERNESS BAY,18.317,-76.8,2.5,,
1907,JAMAICA,SAINT ANN'S BAY,18.433,-77.2,2.5,,
1907,JAMAICA,PORT MARIA,18.367,-76.9,2.4,,
1907,JAMAICA,PORT ANTONIO,18.167,-76.45,2.5,,
1907,JAMAICA,ORANGE BAY,18.367,-78.317,2.5,,
1907,JAMAICA,OCHO RIOS,18.4,-77.1,2.5,,
1907,JAMAICA,KINGSTON HARBOR,17.967,-76.8,2.5,,
1907,JAMAICA,HOPE BAY,18.2,-76.567,2.5,,
1907,INDONESIA,"KARAKELONG ISLAND, TALAUD ISLANDS",4.4,126.7,4.0,,
1907,MEXICO,ACAPULCO,16.833,-99.917,2.0,,
1907,SAMOA,"APIA, UPOLU ISLAND",-13.83,-171.767,0.6,,
1907,SAMOA,MATAUTU,-13.97,-171.95,3.6,,
1908,USA,"HILO, HAWAII, HI",19.7303,-155.0553,1.2,,
1908,ITALY,ALI MARINA,38.0,15.433,8.4,,
1908,ITALY,S. ALESSIO,37.92472,15.35,11.7,,
1908,ITALY,RIPOSTO,37.733,15.2,6.0,3.0,
1908,ITALY,ACIREALE,37.617,15.167,3.7,,
1908,ITALY,OGNINA,37.529,15.113,5.0,,
1908,ITALY,CIVITAVECCHIA,42.092,11.792,0.1,,
1908,ITALY,ISCHIA ISLAND,40.733,13.95,0.2,,
1908,ITALY,AUGUSTA,37.2167,15.2167,1.85,3.0,
